company_name for Emails,facebook_url,domain
Pepe Jeans London,https://facebook.com/PepeJeans/,pepejeans.com
Foodiverse,,foodiverse.com
MARY KAY COSMETICS,https://www.facebook.com/marykayespana,marykay.es
Servinform,,servinform.es
Salvesen Logística,,salvesenlogistica.com
Cellnex Telecom,,cellnex.com
Atresmedia Media SA,https://facebook.com/pages/refname/8469063486,atresmediacorporacion.com
Universidad de La Laguna,https://facebook.com/pages/San-Cristobal-De-La-Laguna-Spain/Universidad-de-La-Laguna-ULL/215062516098,ull.es
Confiteria,https://www.facebook.com/Confitería-Pili-SA-180286128690116/,confiteriapili.com
CEF Centro de Estudios Financieros,https://www.facebook.com/centroestudiosfinancieros,cef.es
Colegio San Patricio,,colegiosanpatriciomadrid.com
ATRESMEDIA,,atresmedia.com
FI Group,https://facebook.com/FIGroupUK/,fi-group.us
TUBACEX,,tubacex.com
Orona Group,,
Ministerio de Sanidad,https://facebook.com/msssi.es,sanidad.gob.es
ULMA Construction,https://facebook.com/ULMA-Constructions-823628694411437/,ulmaconstruction.com
TOUS Jewelry,https://facebook.com/tousjewelry,tous.com
UCAM Universidad Católica San Antonio de Murcia,https://facebook.com/tr,ucam.edu
Universidade de Vigo,https://www.facebook.com/grupocomantenasradarycomunicacionesopticas,uvigo.es
CASA DE FAMILIA 2015 SL,,
Servicio Murciano De Salud Centros Provinciales,,
Orona Group,,
CASA DE FAMILIA 2015 SL,,
Servicio Murciano De Salud Centros Provinciales,,
Power Electronics,,power-electronics.com
Arteche,https://www.facebook.com/GrupoArteche,arteche.com
Roche Farma España,https://www.facebook.com/RocheCareers,roche.es
Ferrer,https://www.facebook.com/ferrerforgood,ferrer.com
EN PARO,,
Maristas Provincia Mediterránea,,maristasmediterranea.com
Blau Hotels,https://facebook.com/pages/Blau-Hotels-Resorts/102630302133,blauhotels.com
Farmacia Leganés,https://www.facebook.com/farmaleganes24h/,farmacialeganes.es
Cooperativa Vicasol,,vicasol.es
Vivanta,https://www.facebook.com/Clínicas-Vivanta-1332409793530323/,vivantadental.es
MAWDY,https://facebook.com/mapfre.asistencia,mawdy.com
Ibermática,https://es-es.facebook.com/ayesa.paginaoficial/,
Diputació de Barcelona,https://facebook.com/entitats.badalona,diba.cat
MEB,,mebers.es
